State Name,Constituency,Candidate Name,Gender,Age,Category,Party,Party Symbol,Total_Votes_Polled,Votes_Secured,Pct_of_Polled,Pct_of_Valid,Votes_Secured_fill,Winner_Name,Winner_Party,Winner_Votes,RunnerUp_Votes,Winning_Margin,Is_Winner,YEAR
Haryana,CHENNAI NORTH,SAMYUKTA SHIVANAND PATIL_ORL,FEMALE,32,SC,JNJWDIP,Window,1250175,494,0.12,0.21,993,DR C N MANJUNATH,VCK,452644,355038,92560,FALSE,2014
Maharashtra,Kannur,NIRMAL SOREN_LUB,MALE,55,SC,TLGNARJYS,Ice cream,1920679,72527,0.13,0.19,18241,RAMPRIT MANDAL,SHSUBT,1079002,147991,261617,FALSE,2014
Puducherry,Khammam,INDU W_GPJ,THIRD,72,GENERAL,DBSP,Flaming torch,1314574,1638,26.18,7.75,367,JAI PARKASH (J P) S/O HARIKESH,BHRTADVSIP,609021,614621,225945,FALSE,2014
Dadra & Nagar Haveli and Daman & Diu,Vijayawada,SUNIL_CFX,THIRD,40,GENERAL,SABJANP,Tractor chalata kisan,1014543,1812,0.03,0.51,1100,BALABHADRA MAJHI,ASPKR,768245,467282,377014,FALSE,2004
Karnataka,Khadoor Sahib,MOHAN SINGH_WNZ,THIRD,34,BL,RPIK,Sofa,1418468,636,0.6,0.65,8478,MANOJ TIWARI,JKN,653808,214060,364422,FALSE,2004
Dadra & Nagar Haveli and Daman & Diu,ARAKKONAM,SHOKINDER KUMAR_EFV,THIRD,53,BL,STHSHKRVP,Nagrik,1199601,11979,6.7,0.32,9188,JAGADISH CHANDRA BARMA BASUNIA,ASPKR,743478,536257,239139,FALSE,2014
Haryana,Chikkodi,BELLAMKONDA SREENIVASULU_JMN,FEMALE,38,GENERAL,AaSaP,Chappals,1150742,1512,1.07,0.16,712,ESWARASAMY K,LJPRV,743478,495728,236566,FALSE,2014
Uttar Pradesh,REWA,ENG. ARJUN PARIHAR_DBS,FEMALE,34,GENERAL,AJPK,Gift pack,988216,3218,0.26,0.06,1520,PRADAN BARUAH,JnP,655027,550033,28670,FALSE,2014
Ladakh,PALI,SURINDER KUMAR_YCX,THIRD,63,BL,HSS,Bicycle pump,1011592,2521,0.15,0.34,266256,Shyamkumar (Babalu) Daulat Barve,AJSUP,322224,685673,28929,FALSE,2024
Jharkhand,Barabanki,SHANTA DAS_ZQX,THIRD,50,GENERAL,RGD,Frock,1083446,256657,0.11,0.08,1977,K. RAJASHEKAR BASAVARAJ HITNAL,CPI(ML)(L),666317,438280,16514,FALSE,2024
Manipur,Barpeta,SUDARSHAN SINGH_HXJ,THIRD,47,GENERAL,PNGDSP,Letter box,1062299,26015,0.14,0.03,467129,RAM SHIROMANI VERMA,HAMS,441932,617659,21371,FALSE,2024
Karnataka,Azamgarh,PRADEEP KUMAR DODDAMUDDEGOWDA_BBB,THIRD,69,GENERAL,ASMJTYP,Electric pole,1291326,530011,0.07,0.11,246,NARESH CHANDRA UTTAM PATEL,TDP,1079002,360955,10386,FALSE,2009
West Bengal,Amroha,Vinod Sultanpuri_RZT,MALE,45,GENERAL,RKBP,Ears of corn and sickle,1127054,394171,0.14,42.99,307428,MOHAMMAD JAWED,JD(S),622213,395044,135498,FALSE,2004
Mizoram,RAMANATHAPURAM,BABU S_PTV,FEMALE,50,ST,ARJP,Gramophone,1339542,500,65.91,0.73,5090,BHARATBHAI MANUBHAI SUTARIYA,IND,796956,377143,82784,FALSE,2004
Gujarat,Shirur,SUBHASH CHANDRA_BON,THIRD,29,SC,JPJD,Diesel pump,1057025,539228,0.37,0.05,719,ARUN GOVIL,RLTP,864948,372032,575285,FALSE,2024
Meghalaya,Jhargram,SALEH AHMED MAZUMDAR_YUJ,FEMALE,33,SC,IMP,Trumpet,1055114,666317,1.42,0.21,515,AJAY TAMTA,SP,683950,522461,136516,FALSE,2004
Dadra & Nagar Haveli and Daman & Diu,Lakhimpur,PIYUSH BRAJESH RAJORIYA_WQC,THIRD,65,BL,INC,Flag with three stars,1690051,5343,0.38,0.92,485080,RAJESH VERMA,IND,787979,472326,69116,FALSE,2024
Sikkim,Jalgaon,V.SIVAKUMAR_JQB,FEMALE,43,GENERAL,JSWBHVKP,Tent,1243151,380492,0.72,1.15,2646,INDRA HANG SUBBA,SAD,217836,422834,103846,TRUE,2014
Uttar Pradesh,KANGRA,JUNAID ANAM SIDDIQUI_SQH,MALE,40,SC,TCPY,Nagara,1015216,901,0.07,0.62,1964,KAMALJEET SEHRAWAT,TDP,494960,560379,182868,FALSE,2004
Gujarat,KALLAKURICHI,ASHPAKAHMAD USTAD_RPU,THIRD,52,GENERAL,TMNK,Balloon,1603233,719,0.28,0.24,432159,ADITYA YADAV,AJSUP,585116,300397,3242,TRUE,2009
Bihar,Basti,BANDANA RAI_XKD,MALE,46,GENERAL,GSNJP,Scissors,1311056,328051,4.29,0.09,293629,MISHA BHARTI,JD(S),692010,301282,151945,FALSE,2004
Andaman & Nicobar Islands,Kakinada,SANKHAT VIKRAMBHAI VISABHAI_CHI,FEMALE,62,ST,GSNJP,Lighter,1346656,27454,0.26,1.44,352,LAVU SRIKRISHNA DEVARAYALU,NCP,644738,78040,104868,TRUE,2019
Jharkhand,Begusarai,ABU TAHER KHAN_OPN,THIRD,60,ST,PDS,Black board,1331334,656,1.06,0.2,540,NARESH CHANDRA UTTAM PATEL,AAAP,537022,277365,108602,FALSE,2009
Kerala,Hamirpur,RATHOD PUNJABHAI PALABHAI_KVI,FEMALE,42,SC,NETHNP,Rubber stamp,1397131,1700,0.33,0.41,2439,VIJAYAKUMAR (Alias) VIJAY VASANTH,ZPM,732312,169159,63381,FALSE,2019
Meghalaya,Guwahati,TRIVENI PADOTI_WNA,THIRD,41,GENERAL,JRVP,Apple,1252883,939,0.41,0.47,767,KRISHAN PAL,UPPL,452600,567884,100649,FALSE,2019
Arunachal Pradesh,Jhansi,NIRANJAN UDAYSINH SIRDESAI_DPJ,THIRD,55,ST,AVRMK,Hurricane lamp,979337,2295,0.22,27.55,1842,ANIL YESHWANT DESAI,JD(S),571666,522461,501499,FALSE,2019
Odisha,Machilipatnam,SHAFEEQUE AHEMAD MD. RAFEEQUE_LJH,FEMALE,40,SC,PuPP,Mango,1369909,2056,0.53,0.13,9661,RAJU BISTA,RLTP,553428,544220,199013,FALSE,2024
Haryana,Saran,SAIYYAD SARFARAZ GANDHI_CWF,MALE,58,SC,BLFP,Tongs,1339542,3929,0.04,0.02,4607,SHIVRAJ SINGH CHOUHAN,YSRCP,567043,477367,24672,FALSE,2004
Arunachal Pradesh,Hardoi,SAIDI REDDY SHANAMPUDI_CVU,MALE,63,ST,HMR,Neck tie,1173782,1527,0.35,0.27,833,BHAUSAHEB RAJARAM WAKCHAURE,NCP,600146,569430,169114,FALSE,2004
Lakshadweep,Gonda,DR. KAILASH NIVRUTTI JADHAV_LZZ,THIRD,53,GENERAL,BhAmAP,Ludo,1022585,4462,0.14,0.14,3974,ABHISHEK BANERJEE,ASPKR,724622,544220,32778,FALSE,2014
Uttarakhand,Chittoor,ANIL GAWLIRAM BARDE_RKD,THIRD,33,BL,HSVP,Bricks,1267551,377,0.14,0.16,489,T.SUMATHY (ALIAS) THAMIZHACHI THANGAPANDIAN,SAD,509787,376887,501499,FALSE,2009
Mizoram,Lucknow,"Balaganapathy, V. Pon_SWQ",THIRD,56,GENERAL,SSD,Car,1357375,5773,0.12,5.66,716883,DILIP SAIKIA,JMM,559422,281335,172560,FALSE,2024
Assam,Kalyan,AMAR KISAN KAVALE_FHI,THIRD,39,BL,DSPVAD,Table lamp,877094,930,0.59,47.93,1843,BHUPENDER YADAV,SAD,768245,475066,108602,FALSE,2004
Meghalaya,Raiganj,DHRUV KUMAR SONI URF LANGUR SONI_FMF,THIRD,70,BL,AAS,Brush,1241169,1869,0.03,1.78,3173,ASHOK KUMAR RAWAT,AAAP,266626,423684,134650,FALSE,2009
NCT OF Delhi,Paschim Champaran,"ANNADURAI, C.N._KIY",FEMALE,31,ST,AJD,Chess board,1147497,694,0.14,0.06,33737,MAHENDRA SINGH SOLANKY,DMK,473212,675001,81648,FALSE,2024
Sikkim,Raver,SUSHIL KUMAR SINGH_OKN,MALE,59,GENERAL,RSMD,Bench,1424863,26722,0.1,35.07,2767,SHRIRANG APPA CHANDU BARNE,RLTP,923302,256087,4500,FALSE,2024
Lakshadweep,Amreli,SUKHVINDER SINGH_QXY,THIRD,68,BL,CCP,Fountain,1084777,3236,2.41,0.75,9791,DILESHWAR KAMAIT,AJSUP,452600,498325,15647,FALSE,2004
Uttar Pradesh,Samastipur,KANHI LAL_TVA,FEMALE,66,ST,LSMP,Hour glass,92448,882,61.22,54.05,2530,AMAR SINGH,BHRTADVSIP,542213,428034,139262,FALSE,2014
Puducherry,Paschim Champaran,KHURSHEED AHMAD SHAH_RLS,MALE,49,BL,ACDP,Lady purse,1226934,10872,0.05,0.44,928,AMBICA G LAKSHMINARAYANA VALMIKI,MDMK,647445,475066,443821,FALSE,2019
Tripura,Nagina,BANDYOPADHYAY SUDIP_FOI,MALE,40,SC,YGATLSIP,Basket,1074532,171,0.3,0.25,383,KALIPADA SAREN (KHERWAL),CPI(M),758611,408254,13426,FALSE,2014
West Bengal,Osmanabad,SAHEBRAO BHIVA GAJBHARE_UOI,MALE,32,BL,apnipp,Biscuit,1484056,1743,0.25,0.12,368090,BUNTY VIVEK SAHU,BJP,520421,401483,29112,FALSE,2019
Tamil Nadu,Garhwal,DEV PRASAD BRAIHA_UXG,THIRD,58,SC,ABSHP,Scissors,1093550,3428,0.11,0.42,567884,P C MOHAN,MDMK,516496,454575,20094,FALSE,2019
NCT OF Delhi,GURGAON,RANJITHA. N_XZT,MALE,45,BL,JRJP,Syringe,1131837,876,0.11,48.84,6309,P. P. CHAUDHARY,ASPKR,894887,416335,249351,FALSE,2014
Sikkim,Chittoor,SUPRAVA DAS_PKS,MALE,53,GENERAL,AJD,Calculator,1104769,45390,0.19,0.16,1958,RAVI SHANKAR PRASAD,CPI,584049,586878,484260,FALSE,2014
Arunachal Pradesh,Mahesana,VAISHNAVI PRASAD_LIY,MALE,58,BL,BDPty,NOTA,1226934,729,0.3,0.31,1723,MOHAMMAD JAWED,RSP,765584,368090,98675,FALSE,2014
Tamil Nadu,Nabarangpur,"KARVANNAN, K._UZZ",THIRD,45,BL,INSAF,Mike,449383,1780,0.59,0.1,358360,GAURAV GOGOI,JD(S),509787,472326,41974,FALSE,2019
West Bengal,Patiala,S.P. MUDDAHANUMEGOWDA_QQU,THIRD,39,ST,AJSUP,Scissors,1386821,15172,0.06,1.3,1423,BHAJAN LAL JATAV,YSRCP,577339,472326,225945,FALSE,2014
Odisha,NAGAPATTINAM,MOHD ALAUDDIN_PQX,THIRD,49,SC,BHRTJDOP,Football player,1212085,332,0.19,0.17,185,BALASHOWRY VALLABHANENI,VCK,383919,472326,344695,FALSE,2004
Maharashtra,NAGAUR,ROHIDAS BALASO KONDAKE_YIK,MALE,53,GENERAL,RCMP,Ginger,1059670,8380,0.4,0.03,562,HARIBHAI PATEL,AIMIM,619749,425543,744716,FALSE,2019
Chandigarh,Tumkur,ISHWAR SINGH SUTHANI_PVX,THIRD,66,GENERAL,JPC,Pen stand,981034,2079,6.22,0.03,4015,PRADEEP KUMAR SINGH,MDMK,421169,459409,49944,FALSE,2009
Sikkim,Hassan,KATTA HEMANAND_CXK,FEMALE,53,SC,RSTJLKPS,Walking stick,1314574,312,36.32,0.56,3978,E.T. MOHAMMED BASHEER,TDP,561589,534933,6553,FALSE,2009
Lakshadweep,DHAR,PEERUBANDI PRAKASH RAO_YRL,FEMALE,61,SC,ABCD(A),Boat with man and sail,1339542,545,0.1,6.6,1248,MANI. A.,INC,494226,63490,467847,FALSE,2004
Karnataka,Kozhikode,SANATAN RISHI_VBK,THIRD,40,GENERAL,JRBP,Drill machine,1337920,963,0.16,45.48,5178,DILIP SAIKIA,IUML,768245,492700,34329,FALSE,2004
Uttarakhand,Uttara Kannada,DR. ARVIND RAJBHAR_RBE,FEMALE,64,ST,JD(S),Vacuum cleaner,1081878,2319,0.18,0.22,49144,MURLIDHAR MOHOL,SP,592718,355038,59442,FALSE,2024
West Bengal,Diamond harbour,AVINASH KUMAR_FTJ,THIRD,33,SC,APNDLK,Flag with three stars,1199601,1325,1.63,0.22,3764,E. TUKARAM,SHS,462145,432078,344695,FALSE,2009
Telangana,Meerut,MATHESWARAN V S_QXW,FEMALE,44,SC,HMR,Spade & stoker,1254043,1682,0.05,0.25,1356,ADHIKARI DEEPAK (DEV),DMK,579890,726573,331767,FALSE,2014
Puducherry,Baharampur,JEEVAN KUMAR_ZRP,MALE,58,SC,DaP,Stumps,1387466,104679,0.05,0.16,415,RAJ NATH SINGH,AGP,255181,301282,559905,FALSE,2019
Arunachal Pradesh,Mayurbhanj,SURYAKIRAN ISHWAR NANDAGAWALI_IHR,MALE,57,SC,BHRTASP,Soap dish,1175066,2241,0.72,1.88,740,FAGGAN SINGH KULASTE,YSRCP,547379,461690,24396,FALSE,2014
Manipur,Solapur,RAJ BAHADUR_GRM,MALE,57,ST,RSTRSURKP,Box,1602280,5831,0.15,0.03,2502,M.K. VISHNUPRASAD,VCK,526271,374815,105762,FALSE,2004
Uttarakhand,Vadodara,ANIKET RAJ_GJW,FEMALE,53,ST,MLCNG,Bicycle,1131818,610,0.2,0.65,778721,GOPINATH K,IUML,390053,377143,63513,FALSE,2024
Ladakh,SATNA,SANJEEV KUMAR (SANJU)_LGS,MALE,34,SC,KKJHS,Petrol pump,1387690,1217,0.12,0.55,561589,ABHAY KUMAR SINHA,JD(U),570424,501376,60102,FALSE,2009
Jharkhand,BHARATPUR,CHHATRA PAL SINGH GANGWAR_DCR,MALE,38,BL,APKAWZP,Mixee,1064918,330,0.07,0.09,298357,RAVI SHANKAR PRASAD,CPI(ML)(L),616729,542448,140951,FALSE,2014
Lakshadweep,Nainital-Udhamsingh Nagar,BABITA YADAV_RVS,THIRD,68,SC,BKrD,Bead necklace,1391130,1202,41.34,0.43,3930,RAVI SHANKAR PRASAD,YSRCP,705538,420575,172897,FALSE,2004
Sikkim,Bhavnagar,ADV.P.K.GEETHAKRISHNAN_MCO,MALE,25,ST,RPI(S),Flute,1543861,403,1.42,0.19,4586,ANURAG SHARMA,IND,477005,450132,80880,FALSE,2019
NCT OF Delhi,Ladakh,BHISHMA SHANKAR ALIAS KUSHAL TIWARI_YFO,THIRD,54,BL,SABJANP,Star,1367995,3208,0.35,0.08,4263,GIRIRAJ SINGH,SHS,644006,454785,174512,FALSE,2009
Maharashtra,Araku,DEEPAK MEHRA_JAY,FEMALE,40,SC,SPSTWDJAP,Balloon,1355574,794154,0.32,47.67,1051,ANITA SUBHADARSHINI,AAAP,624797,337300,14831,FALSE,2009
Jharkhand,REWA,RAHUL KASWAN_WYG,THIRD,47,BL,JKRP,Frying pan,1044901,3897,0.03,46.4,1194,SARBANANDA SONOWAL,YSRCP,550146,537442,290849,FALSE,2019
Odisha,Ahmednagar,AMOL VILAS PACHUNDKAR_OHG,FEMALE,50,SC,JYVDRBP,Pot,1263871,3533,0.07,0.09,816,OM BIRLA,YSRCP,653808,290683,215704,FALSE,2019
Telangana,Raiganj,CHANDURA DHANJIBHAI LAXAMANBHAI_TCG,THIRD,43,SC,NRPI,Apple,1265455,16316,0.07,42.55,717961,PARBHUBHAI NAGARBHAI VASAVA,INC,518459,616262,27205,FALSE,2014
Uttar Pradesh,Kaushambi,ISHTIYAQ ALI_URH,FEMALE,39,BL,NSCBRAP,Whistle,1199601,5014,43.77,0.54,511647,G. KUMAR NAIK.,VOTPP,866483,526733,40626,FALSE,2004
Arunachal Pradesh,CUDDALORE,KRISHNA KISHORE YANAMANDRA_LQN,FEMALE,66,BL,ASDC,Well,966352,1878,0.29,0.08,5498,SAMBIT PATRA,VCK,539228,667646,220959,FALSE,2019
Rajasthan,Chikkballapur,DARBARA SINGH_YWB,MALE,43,SC,SACSP,Black board,1291326,2067,0.91,12.24,12210,JAGADISH SHETTAR,RLTP,548682,298357,251895,FALSE,2014
Bihar,Supaul,PARIMAL ORAON_UPK,FEMALE,55,ST,APKAWZP,Plough,1227560,3096,0.38,0.14,5521,SURESH KUMAR SHETKAR,LJPRV,494226,606965,139262,FALSE,2024
Uttarakhand,SHIMLA,B JAGAN_PSI,FEMALE,44,ST,ILP(AP),Calculator,1422157,3534,65.98,51.05,992,DILESHWAR KAMAIT,SP,530011,483425,64542,FALSE,2024
Himachal Pradesh,BANSWARA,KHAN SAUMITRA_PHQ,FEMALE,57,BL,AMMKMNKZ,Safety pin,1038946,3212,2.96,0.37,257514,DR CHANDRA SEKHAR PEMMASANI,RLD,452644,444027,19731,FALSE,2014
NCT OF Delhi,Hajipur,BALAGAM NAYAKAR_UIO,MALE,69,GENERAL,BDJS,Door handle,1297282,1356,0.24,0.3,247,T.SUMATHY (ALIAS) THAMIZHACHI THANGAPANDIAN,HAMS,546469,322176,182357,FALSE,2024
Mizoram,Sheohar,DOMAN CHANDRA BHAKAT_OSG,THIRD,27,GENERAL,BhAmAP,Whistle,1098801,144322,0.05,1.28,350967,MANJU SHARMA,INC,429167,648267,34329,FALSE,2014
Jammu and Kashmir,Samastipur,RANJINI. M_SFX,THIRD,37,SC,KRUP,Ganna kisan,1297282,303459,0.44,56.52,6423,AVIMANYU SETHI,AITC,502296,492700,278825,FALSE,2004
Ladakh,Katihar,ADV CHANDAN KUMAR DAS_PGO,FEMALE,70,ST,bhmm,Safety pin,887948,265,0.23,0.91,3216,ARUNA. D. K,SP,848236,583592,82784,TRUE,2014
Jammu and Kashmir,KHARGONE,MOHAMMAD DASTAGEER_RZU,FEMALE,32,ST,PSJP,Brush,1301934,472,0.17,47.8,8497,DR. KALGE SHIVAJI BANDAPPA,MDMK,557365,469276,24396,FALSE,2024
Chhattisgarh,Bangalore North,RAJKUMAR SOMENDRO SINGH_GTW,THIRD,35,BL,BJSAP,Spanner,1553679,581294,2.05,0.09,1953,MAHENDRA SINGH SOLANKY,DMK,701894,368090,244689,FALSE,2009
Uttar Pradesh,MADURAI,RAMPRASAD NARAYAN BANGAR_VBW,MALE,55,GENERAL,BMUP,Whistle,1269390,96138,0.22,0.38,1217,DR SHRIKANT EKNATH SHINDE,TDP,583559,538363,10846,FALSE,2004
Telangana,Nagaon,KRISHNA BALEGAR_MKB,MALE,64,GENERAL,AJSUP,Computer mouse,1304337,2296,21.68,0.05,26010,SHOBHANABEN MAHENDRASINH BARAIYA,TDP,644006,376887,153846,FALSE,2019
Jammu and Kashmir,Tamluk,PRADIP BHANDARI_NNV,THIRD,36,SC,HINDSMJP,Kite,1297265,5775,33.17,0.03,1134,HARISH CHANDRA MEENA,IUML,445545,406330,164215,FALSE,2009
Puducherry,Shirdi,NAGENDRA KUMAR PRADHAN_WLK,THIRD,38,BL,SRVLKTSP,Lunch box,1109359,1260,0.52,0.09,297619,RADHAKRISHNA,DMK,518459,158111,174830,TRUE,2019
Sikkim,Krishnanagar,SHYAMAL KUMAR MALLICK_RNR,MALE,55,GENERAL,IUC,Table lamp,1267551,6923,0.02,0.08,1520,DR. LATA WANKHEDE,JKN,547379,536257,51356,FALSE,2009
Andaman & Nicobar Islands,West Delhi,RAKESH SHARMA_PQJ,FEMALE,66,SC,RJBVP,Ship,1440060,614379,0.16,0.36,320,RAM SHIROMANI VERMA,BJP,471752,447469,137603,FALSE,2014
Chandigarh,THOOTHUKKUDI,MUTHURAJA. T_MPT,THIRD,63,ST,KEC,Hurricane lamp,1174779,422,37.77,0.46,453185,DR. RAJESH MISHRA,MDMK,592162,467282,338087,FALSE,2024
Goa,Darjeeling,BINOD GOGOI_KFP,THIRD,35,GENERAL,SHSUBT,Electric bulb,1209822,1902,0.62,2.1,611704,ADV GOWAAL KAGADA PADAVI,RJD,886850,383933,166782,FALSE,2014
Karnataka,TENKASI,FARMER JAYARAMAN. S.K.J_TJJ,FEMALE,55,BL,SRPP,Ring,1133069,583592,46.72,0.07,1207,CHAVAN VASANTRAO BALWANTRAO,RLD,612709,643645,14569,FALSE,2014
Tripura,Darrang-Udalguri,SITAPURE VINOD DILIP_ZQS,THIRD,50,ST,ABTP,Chakki,1379358,528,0.31,0.24,3281,DR. HEMANG JOSHI,VCK,543037,327367,166816,FALSE,2009
Mizoram,Meerut,KOTHAPALLI GEETHA_MMN,MALE,56,GENERAL,GGP,Flowers and Grass,1267551,1562,0.72,0.07,269,GOPINATH K,AIMIM,529382,526733,72737,FALSE,2004
Chhattisgarh,Dibrugarh,DR. DURGA WATI BHARIA_NZZ,MALE,35,ST,DMDK,Key,1228602,2977,1.05,0.03,1727,K. SUDHAKARAN,IUML,661981,449667,34329,FALSE,2014
Telangana,KORBA,N.NARAYANASWAMY_UPU,THIRD,67,SC,AMiP,Basket,1437528,220,40.1,0.11,4416,DEVENDRA SINGH ALIAS BHOLE SINGH,KEC,497333,368090,113618,TRUE,2009
Nagaland,Kannauj,KAPIL GUPTA BHARTIYA_FCU,THIRD,58,SC,INYJP,Slate,1170701,364571,0.07,0.63,14197,JASHUBHAI BHILUBHAI RATHVA,JD(U),542175,383336,146176,FALSE,2019
Assam,Badaun,GAVADE MACCHINDRA RADHAKISAN_SUJ,MALE,42,ST,bhp,Gas cylinder,1820644,5211,0.27,0.16,2931,ASADUDDIN OWAISI,HAMS,513102,434555,225945,FALSE,2009
Arunachal Pradesh,Andaman & Nicobar Islands,SANGRAM RAJARAM MORE_YRC,FEMALE,40,ST,PPID,Balloon,1374127,1402,0.38,0.4,1067,MANOHAR LAL,INC,364085,648267,208766,FALSE,2019
Meghalaya,Mathurapur,ANDRAPU SUDARSHAN_BZS,MALE,46,GENERAL,RSHTBHUP,Coat,1131837,682,0.37,0.37,1902,CHANDRA PRAKASH CHOUDHARY,CPI(M),475587,303459,96615,FALSE,2014
Assam,Mirzapur,ROBERT BRUCE C_THT,FEMALE,64,SC,ASJP,Bead necklace,927696,12646,0.5,0.27,553168,KRITI DEVI DEBBARMAN,BJP,664732,386677,3573,FALSE,2009
Himachal Pradesh,Machilipatnam,VIJAYA BHASKAR REDDYPOGU_NIT,FEMALE,47,GENERAL,SMSSMJP,Pencil box,1297282,2572,0.06,1.06,4169,NITIN JAIRAM GADKARI,MDMK,698692,226328,13426,FALSE,2019
Jharkhand,Amritsar,UDAY KUMAR RATHIA_ZMU,MALE,41,SC,PMK,Shoe,1329839,3203,51.73,0.5,5095,VIJAY KUMAR DUBAY,AAAP,609021,377927,55379,FALSE,2014
Kerala,DHARMAPURI,AMANSHER SINGH (SHERY KALSI)_QWT,MALE,60,GENERAL,LGP,Green chilli,1518072,7831,0.12,0.13,2435,KHADSE RAKSHA NIKHIL,RJD,581294,618199,120837,FALSE,2014
Meghalaya,Shahjahanpur,BUNGA JYOTHI RAMANA_EHO,FEMALE,42,SC,ABMVMP,Flaming torch,1133958,5286,0.18,0.15,964,DR. MANSUKH MANDAVIYA,RSP,509664,268339,220959,FALSE,2019
Lakshadweep,Osmanabad,SWARN VEER SINGH JARAL_HIV,THIRD,48,SC,MLPOIRF,Phone charger,1311233,16123,3.51,0.08,36298,KAMALJEET SEHRAWAT,CPI(ML)(L),584728,567884,35850,FALSE,2009
Chhattisgarh,Ghatal,SHIKHA BANDRAL_IGA,FEMALE,32,SC,MJLMSMJP,Truck,1133390,4524,1.02,0.1,583,JITENDRA KUMAR DOHARE,VOTPP,655027,370658,338087,FALSE,2009
Tripura,RAIPUR,SWAPAN MAHATO_WDB,MALE,36,SC,RJAVP,Switchboard,1345727,317,1.12,0.05,1464,JAGANNATH SARKAR,RSP,581294,388094,134061,TRUE,2024
Punjab,Bhandara Gondiya,SARVAJEET SINGH_NCB,FEMALE,69,SC,KMSMP,Slate,1205023,86373,0.08,0.11,115160,KRISHAN PAL,RLD,332591,479610,174830,TRUE,2009
Bihar,South Goa,CHANDRA KISHOR THAKUR_AEF,MALE,32,ST,TRPS,Frock,1059678,362,0.61,0.78,5112,VIJAYAKUMAR (Alias) VIJAY VASANTH,SKM,666317,485285,21816,FALSE,2014
Ladakh,Shimoga,SHANKARA_UTD,MALE,32,SC,AJP,Peas,1425958,1069,0.05,0.23,2256,CHAMALA KIRAN KUMAR REDDY,ADAL,488995,597577,48121,FALSE,2004
Tamil Nadu,BANSWARA,KYAMA MALLESH_LKJ,MALE,35,SC,SBSP,Baby walker,1445498,524,0.05,0.06,716359,ARUN NEHRU,ADAL,430323,458091,44111,FALSE,2009
Uttarakhand,Mavelikkara,RAJENDRA SAHU_CXX,FEMALE,55,BL,KPJD,Box,1026616,6622,0.28,0.49,10021,SUKANTA MAJUMDAR,DMK,732312,380492,129234,TRUE,2004
West Bengal,Ahmedabad West,AKSHAY_HQV,MALE,58,GENERAL,BAWPA,Water melon,1243057,1310,0.09,0.11,821,KALYAN BANERJEE,JMM,455053,469276,232577,FALSE,2019
West Bengal,Domariyaganj,TAKAPPA YALLAPPA KALAL_THF,FEMALE,49,BL,MDMK,Helicopter,1374127,2081,0.26,0.07,7043,RAM SHIROMANI VERMA,JD(U),615274,377927,486819,FALSE,2024
Meghalaya,GURGAON,MAHABUB BASHA_TYB,MALE,46,GENERAL,INYJP,Dumbbells,1130756,273,0.2,0.52,12173,ARVIND GANPAT SAWANT,KEC,725534,439294,78370,FALSE,2009
Madhya Pradesh,HISAR,RAMESH CHANDRA VERMA_IBS,FEMALE,46,SC,ARP,Matchbox,1304517,903,0.19,0.05,5286,DELKAR KALABEN MOHANBHAI,NCP,492535,614379,364422,FALSE,2009
Maharashtra,Anandpur Sahib,PRAVIN JAIN_QAF,MALE,37,ST,TSP,Spade & stoker,1059678,390308,0.25,0.45,569430,SARBANANDA SONOWAL,SKM,766929,679875,199013,FALSE,2009
Uttar Pradesh,Ambedkar Nagar,PEDDAPPA S_YAG,FEMALE,36,GENERAL,NCPSP,Gas Stove,1200815,1467,0.01,0.06,1071,RAJ BHUSHAN CHOUDHARY,KEC,866483,406973,26094,FALSE,2024
West Bengal,Darrang-Udalguri,MAHESH PAHARIYA_MDJ,FEMALE,38,GENERAL,RRP,Gramophone,1195706,2468,36.46,0.39,423068,TANGELLA UDAY SRINIVAS (TEA TIME UDAY),BJP,758611,706188,19731,FALSE,2014
Assam,Anand,EZHILARASI_XQQ,FEMALE,51,GENERAL,svjn,Fountain,1129208,821,0.41,0.59,1163,KARTI P CHIDAMBARAM,LJPRV,888202,601325,21816,FALSE,2004
Gujarat,Saran,DABHI ASHOKBHAI SUKHABHAI_KDU,THIRD,48,SC,SHSUBT,Football,1365126,4776,1.95,44.48,1273,MADHAVANENI RAGHUNANDAN RAO,MDMK,808275,424711,438226,FALSE,2014
Meghalaya,TIRUVALLUR,SUMIT KUMAR YADAV_YTG,FEMALE,39,ST,RasLP,Pencil sharpner,1037351,2268,0.38,0.33,562,SANJAY DINA PATIL,SP,568200,599558,59442,FALSE,2009
Bihar,JALORE,AJIT RAMJIBHAI MAHALA_ECR,MALE,43,ST,KRS,Trumpet,1243057,1159,0.42,0.2,1392,SHREYAS. M. PATEL,ADAL,492883,451458,40301,FALSE,2024
Chhattisgarh,Darrang-Udalguri,SUSHMITA SAROJ_EBC,THIRD,37,SC,BRMNP,Toffees,1756885,603,40.96,1.47,18806,BASTIPATI NAGARAJU PANCHALINGALA,RSP,768245,301282,120837,FALSE,2009
Ladakh,Mathurapur,RAJAPANDIAN. K_YZJ,THIRD,36,ST,KPPU,Baby walker,1460563,437,0.71,48.5,995,SHANKAR LALWANI,SAD,497333,214880,377014,FALSE,2019
Chandigarh,Pathanamthitta,TRIPTINA RABHA_ZCA,THIRD,60,GENERAL,PNJBNP,Wallet,1206961,6761,0.24,0.38,243,SHRIPAD YESSO NAIK,SP,923302,426011,49944,FALSE,2019
